Name,Status,HierarchyPath
Ganglion_impar_male,Inactive,Nervous_system/Abdomen/Repetition_with_PelvisHip/MUVWXYZale/Ganglion_impar_male
Common_palmar_digital_R_A,Inactive,Artery_system/Arm_R/Common_palmar_digital_R_A
Deep_infrapatellar_bursa_L,Inactive,Muscle_system/Lower_Limb_L/Common/Deep_infrapatellar_bursa_L
Common,Inactive,Lymphatic_system/Lower_Limb_L/Common
Ascending_cervical_R,Inactive,Artery_system/Head_and_Neck/Ascending_cervical_R
Head_and_Neck,Inactive,Vein_system/Head_and_Neck
Gonadal_456testicular_internal_spermatic789_female_L_VABCDEFG,Inactive,Vein_system/Pelvis_and_Hip/Female/Gonadal_456testicular_internal_spermatic789_female_L_VABCDEFG
Prostate_median_lobe,Inactive,Reproductive_system/Pelvis_and_Hip/Male/Prostate_median_lobe
Prefrontal_456pre246Rolandic789_L,Inactive,Artery_system/Head_and_Neck/Prefrontal_456pre246Rolandic789_L
Stylomandibular_ligament_L,Inactive,Ligament_system/Head_and_Neck/Common/Stylomandibular_ligament_L
Lateral_plantar_R_V,Inactive,Vein_system/Lower_Limb_R/Common/Lateral_plantar_R_V
Lateral_circumflex_femoral_descending_branch_L,Inactive,Artery_system/Lower_Limb_L/Common/Lateral_circumflex_femoral_descending_branch_L
T11_Dorsal_ramus_medial_branch_L,Inactive,Nervous_system/Back/Common/T11_Dorsal_ramus_medial_branch_L
Superficial_palmar_arch_R,Inactive,Artery_system/Arm_R/Superficial_palmar_arch_R
Prostatic_venous_plexus_R,Inactive,Vein_system/Pelvis_and_Hip/Male/Prostatic_venous_plexus_R
Radial_recurrent_R,Inactive,Artery_system/Arm_R/Radial_recurrent_R
Small_saphenous_L,Inactive,Vein_system/Lower_Limb_L/Common/Small_saphenous_L
Ulnar_collateral_ligament_R,Inactive,Ligament_system/Arm_R/Ulnar_collateral_ligament_R
Inferior_extensor_retinaculum_L,Inactive,Ligament_system/Lower_Limb_L/Common/Inferior_extensor_retinaculum_L
Inferior_vesical_female_L_V,Inactive,Vein_system/Pelvis_and_Hip/Female/Inferior_vesical_female_L_V
Inferior_petrosal_sinus_R,Inactive,Vein_system/Head_and_Neck/Inferior_petrosal_sinus_R
Gonadal_456testicular_internal_spermatic789_female_L_V,Inactive,Vein_system/Abdomen/Repetition_with_PelvisHip/FemaleDCBA/Gonadal_456testicular_internal_spermatic789_female_L_V
Sphenopalatine_R,Inactive,Artery_system/Head_and_Neck/Sphenopalatine_R
T11_Spinal_nerve_456ventral_ramus789_male_LABCDEFG,Inactive,Nervous_system/Abdomen/UVWXYZMale/T11_Spinal_nerve_456ventral_ramus789_male_LABCDEFG
Sympathetic_ganglion_thoracic_region_female_R,Inactive,Nervous_system/Thorax/FemABCDEFGale/Sympathetic_ganglion_thoracic_region_female_R
Salivary_456submandibular_submaxillary789_duct_L,Inactive,Digestive_system/Head_and_Neck/Salivary_456submandibular_submaxillary789_duct_L
Corpus_cavernosum_R,Inactive,Reproductive_system/Pelvis_and_Hip/Male/Corpus_cavernosum_R
